name,default_name,is_team
Rotten,Rotten,f
Sportacus,Sportacus,f
Merlin,Merlin,f
Emrys,Merlin,f
Superhoodie,Superhoodie,f
Simon Bellamy,Superhoodie,f
Guy in the Mask,Superhoodie,f
Super hoodie,Superhoodie,f
Simon,Simon,f
Bellamy,Bellamy,f
Casey Bowman,Casey Bowman,f
Casey,Casey,f
Bowman,Bowman,f
Michael Scarn,Michael Scarn,f
Michael,Michael,f
Mose Schrute,Mose Schrute,f
Mose,Mose,f
Alara Kitan,Alara Kitan,f
Alara,Alara,f
Kitan,Kitan,f
Team Machine,Team Machine,f
Machine,Machine,f
Harold,Harold,f
Finch,Finch,f
Root,Root,f
Groves,Groves,f
Samantha,Samantha,f
John,John,f
Reese,Reese,f
Sam,Sam,f
Sameen,Sameen,f
Shaw,Shaw,f
Joss,Joss,f
Jocelyn,Jocelyn,f
Carter,Carter,f
Lionel,Lionel,f
Fusco,Fusco,f
Harold Finch,Harold Finch,f
Samantha Groves,Samantha Groves,f
John Reese,John Reese,f
Sameen Shaw,Sameen Shaw,f
Joss Carter,Joss Carter,f
Jocelyn Carter,Jocelyn Carter,f
Lionel Fusco,Lionel Fusco,f
Joey Ryan,Joey Ryan,f
King of Dong Style,Joey Ryan,f
Tommy Oliver,Tommy Oliver,f
Son of a Bitch,Son of a Bitch,f
Pumpkins,Pumpkins,f
Brasky,Bill Brasky,f
David Simon Pumpkins,David Simon Pumpkins,f
David S Pumpkins,David Simon Pumpkins,f
David S. Pumpkins,David Simon Pumpkins,f
Kal-El,Superman,f
Clark Kent,Superman,f
Clark,Clark,f
Kull Warrior,Kull Warriors,f
Kull Warriors,Kull Warriors,f
Q,Q,f
Teague,Jamison Teague,f
Shane,Shane,f
David,David,f
Dean,Dean,f
Winchester,Winchester,f
Dean Winchester,Dean Winchester,f
Takuya Yamashiro,Takuya Yamashiro,f
Yamashiro Takuya,Takuya Yamashiro,f
Japanese Spider-Man,Japanese Spider-Man,f
Japanese Spiderman,Japanese Spider-Man,f
Electro,Electro,f
Max Dillon,Electro,f
Green Goblin,Green Goblin,f
Lizard,Lizard,f
Curt Connors,Lizard,f
Curtis Connors,Lizard,f
Kuru(-| )Kuru Hime,Kuru-Kuru Hime,f
Tepsekemei,Tepsekemei,f
Bullseye,Bullseye,f
Daredevil,Daredevil,f
Matt Murdock,Daredevil,f
Elektra,Elektra,f
The Hand,The Hand,f
Kirigi,Kirigi,f
Tattoo,Tattoo,f
Stone,Stone,f
Typhoid,Typhoid,f
Kinkou,Kinkou,f
Morr?o,Moro,f
Arthur Curry,Aquaman,f
Black Manta,Black Manta,f
David Kane,Black Manta,f
Deadshot,Deadshot,f
Floyd Lawton,Deadshot,f
Doomsday,Doomsday,f
Diana Prince,Wonder Woman,f
Diana,Diana,f
Justice League,Justice League,f
Undertaker,Undertaker,f
The Undertaker,The Undertaker,f
Katana,Katana,f
Tatsu Yamashiro,Katana,f
Mera,Mera,f
Ocean Master,Ocean Master,f
Orm Marius,Ocean Master,f
Panda Man,Panda Man,f
Peter Parker,Peter Parker,f
Brun?ce Wayne,Batman,f
Prue Halliwell,Prue Halliwell,f
Steppenwolf,Steppenwolf,f
Scott Summers,Scott Summers,f
Digger Harkness,Captain Boomerang,f
Captain Boomerang,Captain Boomerang,f
Rick Flag,Rick Flag,f
Waylon Jones,Killer Croc,f
Killer Croc,Killer Croc,f
June Moone,Enchantress,f
Enchantress,Enchantress,f
Harleen Quinzel,Harley Quinn,f
Yuta,Yuta,f
Chato Santana,El Diablo,f
El Diablo,El Diablo,f
Christopher Weiss,Slipknot,f
Slipknot,Slipknot,f
Alucard,Alucard,f
Dracula,Dracula,f
Godbrand,Godbrand,f
Sypha Belnades,Sypha Belnades,f
Trevor Belmont,Trevor C. Belmont,f
Trevor C Belmont,Trevor C. Belmont,f
Trevor C. Belmont,Trevor C. Belmont,f
Brian O'Conner,Brian O'Conner,f
Deckard Shaw,Deckard Shaw,f
Dominic Toretto,Dominic Toretto,f
Luke Hobbs,Luke Hobbs,f
Agent Zero,Agent Zero,f
