name,default_name,is_team
Blackmore,Blackmore,f
Ratt,Ratt,f
Gwess,Gwess,f
Gaoh Ryuki,Gaoh Ryuki,f
Erioh Kure,Erioh Kure,f
Nitoku,Nitoku,f
Tokuno'o Tokumichi,Nitoku,f
Narushima Koga,Narushima Koga,f
Nakia,Nakia,f
Luuke Skywalker,Luuke Skywalker,f
Generation X,Generation X,t
Jubilee,Jubilee,f
Skin,Skin,f
M,M,f
Buff,Buff,f
Mondo,Mondo,f
Refrax,Refrax,f
Russel Tresh,Dr. Russel Tresh,f
Grace,Grace,f
Archen,Archeops,f
Archeops,Archeops,f
Thane,Thane,f
Thane Krios,Thane Krios,f
Mordin Solus,Mordin Solus,f
Urdnot Wrex,Urdnot Wrex,f
Kasumi,Kasumi,f
Kasumi Goto,Kasumi Goto,f
Grunt,Grunt,f
Rick Astley,Rick Astley,f
Bride of Nine Spiders,Bride of Nine Spiders,f
Swordsman,Swordsman,f
Jacques Duquesne,Jacques Duquesne,f
Ravage 2099,Ravage 2099,f
Paul(-| )Philip Ravage,Ravage 2099,f
Swordswoman,Swordswoman,f
Adelynn Duquesne,Adelynn Duquesne,f
X(-| )Babies,X-Babies,t
Bub,Bub,f
Tyke,Tyke,f
Colossusus,Colossusus,f
Creepy Crawler,Creepy Crawler,f
Shower,Shower,f
Sugah,Sugah,f
Shadowkitty,Shadowkitty,f
Taskmaster,Taskmaster,f
Shatterstar,Shatterstar,f
Arcade,Arcade,f
Arno Stark,Arno Stark,f
Iron ?Man 2020,Iron Man 2020,f
Gwenpool,Gwenpool,f
Koopastein,Koopastein,f
Cyborg Overman,Cyborg Overman,f
Earl Dukeston,The Duke of Oil,f
Duke of Oil,The Duke of Oil,f
Super Malon,Super Malon,t
Salamanca,Salamanca,f
Cachir(ú|u),Cachirú,f
Cyborg Superman,Cyborg Superman,f
Cythonna,Cythonna,f
Mogo The Bat-Ape,Mogo The Bat-Ape,f
Brother Power,Brother Power,f
Bat(-| )?Hulk,Bat-Hulk,f
Metallo,Metallo,f
(Mister|Mr\.?) Miracle,Mister Miracle,f
Scott Free,Scott Free,f
Bronze Tiger,Bronze Tiger,f
Skeleton,Skeleton,f
Minori Rokujou?,Minori Rokujo,f
Love Espada,Love Espada,f
Takeru Ooyama,Takeru Ooyama,f
Kimi Sato,Kimi Sato,f
Akagi Chacha,Akagi Chacha,f
Azuki Shinatsu,Azuki Shinatsu,f
Kodama Himegami,Kodama Himegami,f
Haruko Amaya,Haruko Amaya,f
Inaho Kushiya,Inaho Kushiya,f
Raziel,Raziel,f
Kain,Kain,f
Ana Amari,Ana Amari,f
Ana,Ana,f
Doomfist,Doomfist,f
Genji,Genji,f
Genji Shimada,Genji Shimada,f
Ashe,Ashe,f
D\.Va,D.Va,f
Baptiste,Baptiste,f
Bastion,Bastion,f
Brigitte,Brigitte,f
Ashen One,Ashen One,f
Eden,Eden,f
Mozenrath,Mozenrath,f
Mirage,Mirage,f
Gohan,Gohan,f
Beta Ray Bill,Beta Ray Bill,f
Genz Bresslau,Genz Bresslau,f
Bone ?Saw Mcgraw,Bone Saw Mcgraw,f
Bone ?Saw,Bone Saw,f
Kamen Rider Kuuga,Kamen Rider Kuuga,f
Kamen Rider Barlckxs,Kamen Rider Barlckxs,f
Kamen Rider Zonjis,Kamen Rider Zonjis,f
Kamen Rider Zamonas,Kamen Rider Zamonas,f
Tinkerbell,Tinkerbell,f
God,God,f
Neil Clarke,Neil Clarke,f
Jianzhu,Jianzhu,f
Mighty Mouse,Mighty Mouse,f
Squeem,Squeem,f
Interim Coalition of Governance,Interim Coalition of Governance,f
Greenships?,Greenships,f
First Expansion,First Expansion,f
Humanity,Humanity,f
GUTships?,GUTships,f
Silver Ghost?,Silver Ghosts,f
Qax,Qax,f
Spline,Spline,f
Captain Confederacy,Captain Confederacy,f
Tsuchinoko,Tsuchinoko,f
Twig,Twig,f
Ben,Ben,f
Scar,Scar,f
The Ranger,The Ranger,f
Tramp,Tramp,f
Jughead,Jughead,f
Dio Brando,Dio Brando,f
Hana Gekokujou,Hana Gekokujou,f
Pythie Frederica,Pythie Frederica,f
Rain Pow,Rain Pow,f
Nick Rivers,Nick Rivers,f
Chimeraid,Chimeraid,f
Gaius,Gaius,f
Muz(e|é)t,Muzét,f
Rideaux,Rideaux,f
Bisley Bakur,Bisley Bakur,f
Gilandor Yul Svent,Gilandor Yul Svent,f
Celsius,Celsius,f
Pulgasari,Pulgasari,f
Kurono Yuichiro,Kurono Yuichiro,f
Tamaki Kotatsu,Tamaki Kotatsu,f
Tamaki,Tamaki,f
Shinra,Shinra,f
Takeru Noto,Takeru Noto,f
Ogun Montgomery,Ogun Montgomery,f
Maki Oze,Maki Oze,f
Maki,Maki,f
Akitaru Obi,Akitaru Obi,f
Obi,Obi,f
Vulcan Joseph,Vulcan Joseph,f
Takehisa Hinawa,Takehisa Hinawa,f
Arthur Boyle,Arthur Boyle,f
Arthur,Arthur,f
Ameebo,Ameebo,f
IG(-| )?04,IG-04,f
Sips the Hutt,Sips the Hutt,f
Grof Brik,Grof Brik,f
Geycukk,Geycukk,f
Drick Kaangoo,Drick Kaangoo,f
Clifford the Big Red Dog,Clifford the Big Red Dog,f
Genie,Genie,f
Tatsu,Tatsu,f
Doug Jones,Doug Jones,f
Barack the Barbarian,Barack the Barbarian,f
Shego,Shego,f
Shinnok,Shinnok,f
Skipper,Skipper,f
Skipper the Penguin,Skipper the Penguin,f
Kowalski,Kowalski,f
Rico,Rico,f
Private,Private,f
Pangolins?,Pangolins,f
Knuckle Bine,Knuckle Bine,f
Knuckle,Knuckle,f
Shoot McMahon,Shoot McMahon,f
Shoot,Shoot,f
Alex Eggleston,Alex Eggleston,f
Muscle Kim,Muscle Kim,f
Ryu,Ryu,f
Mario Bros,Mario Bros,t
(Miss|Mr?s\.?) Martian,Miss Martian,f
Tangle the Lemur,Tangle the Lemur,f
Classic Sonic,Classic Sonic,f
Modern Sonic,Modern Sonic,f
Sonic the Hedgehog,Sonic the Hedgehog,f
Super Sonic,Super Sonic,f
Stone King,Stone King,f
Suicide Squad,Suicide Squad,t
Mandarin,Mandarin,f
Cosmic Ghost Rider,Cosmic Ghost Rider,f
Sosumi Brown,Sosumi Brown,f
Space Punisher,Space Punisher,f
War Machine Punisher,War Machine Punisher,f
Punisher:? War Machine,War Machine Punisher,f
Chase Stein,Chase Stein,f
Old Lace,Old Lace,f
Karolina Dean,Karolina Dean,f
Molly Hayes,Molly Hayes,f
Nico Minoru,Nico Minoru,f
Victor Mancha,Victor Mancha,f
Xavin,Xavin,f
Ka(-| )Zar,Ka-Zar,f
Shanna,Shanna,f
Stegron,Stegron,f
Zabu,Zabu,f
Cosmic Spider(-| )?Man,Cosmic Spider-Man,f
Scarlet Spider,Scarlet Spider,f
Cindy Moon,Cindy Moon,f
Silk,Silk,f
Penn?i Parker,Peni Parker,f
Ashley Barton,Spider-Bitch,f
Spider(-| )?Bitch,Spider-Bitch,f
Parker family,Parker family,t
Spider(-| )Family,Spider-Family,t
Spider(-| )Gwen,Spider-Gwen,f
Ghost Spider,Spider-Gwen,f
Zombie Spider(-| )?Man,Zombie Spider-Man,f
Spiderman,Spiderman,f
Steel Spider,Steel Spider,f
Osnick,Osnick,f
Superior Spider(-| )?Man,Superior Spider-Man,f
Demogoblin,Demogoblin,f
Hob ?goblin,Hobgoblin,f
(Doctor|Dr\.?) Octopus,Doctor Octopus,f
Otto Octavius,Doctor Octopus,f
Kraven the Hunter,Kraven the Hunter,f
Rhino,Rhino,f
Boomerang,Boomerang,f
Overdrive,Overdrive,f
Speed Demon,Speed Demon,f
Big Wheel,Big Wheel,f
Cardiac,Cardiac,f
Chameleon,Chameleon,f
Clayton Cole,Clayton Cole,f
Doppelganger,Doppelganger,f
Enforcers,Enforcers,f
Human Fly,Human Fly,f
Hydro(-| )?Man,Hydro-Man,f
Hypno(-| )?Hustler,Hypno-Hustler,f
Itsy Bitsy,Itsy Bitsy,f
Killer Shrike,Killer Shrike,f
Man(-| )Mountain Marko,Man Mountain Marko,f
Michael Marko,Man Mountain Marko,f
(Mister|Mr\.?) Negative,Mister Negative,f
Martin Li,Mister Negative,f
Molten Man,Molten Man,f
Morlun,Morlun,f
New Rhino,New Rhino,f
Puma,Puma,f
Queen,Queen,f
Damon Ryder,Damon Ryder,f
Raptor,Raptor,f
Screwball,Screwball,f
Shriek,Shriek,f
Spider(-| )Slayer,Spider Slayer,f
Alistaire? Smythe,Spider Slayer,f
Spider(-| )Slayer Robots?,Spider Slayer Robots,f
Spider(-| )Slayer Mark,Spider Slayer Robots,f
Spot,Spot,f
Vermin,Vermin,f
The Wall,The Wall,f
Gog,Gog,f
Will(-| )O'(-| )The(-| )Wisp,Will O' The Wisp,f
Necro(-| )?sword,Necrosword,f
All(-| )Black,All-Black,f
Anti(-| )?Venom,Anti-Venom,f
Dock? Ock,Doctor Octopus,f
Penguins of Ma(d|g)a(g|d)ascar,Penguins of Madagascar,t
Giant Kryptonite Covered Clone of Jimmy Olsen,Giant Kryptonite Covered Clone of Jimmy Olsen,f
H'El,H'El,f
Imperiex,Imperiex,f
Livewire,Livewire,f
Maxima,Maxima,f
Mongul,Mongul,f
Mxyzptlk,Mister Mxyzptlk,f
Dana Dearden,Dana Dearden,f
Super(-| )Ants,Super-Ants,f
Ugly Superman,Ugly Superman,f
Vril Dox,Vril Dox,f
Brai?niac 1,Brainiac 1,f
Wraith,Wraith,f
Great Ten,Great Ten,t
Yao Fei,Yao Fei,f
Accomplished Perfect Physician,Accomplished Perfect Physician,f
Celestial Archer,Celestial Archer,f
Zou Kang,Zou Kang,f
Thundermind,Thundermind,f
Chen Nuo,Chen Nuo,f
Immortal Man(-| )in(-| )Darkness,Immortal Man in Darkness,f
Fang Zhifu,Fang Zhifu,f
August General in Iron,August General in Iron,f
Seven Deadly Brothers,Seven Deadly Brothers,f
Yang Kei(-| )Ying,Yang Kei-Ying,f
Shaolin Robot,Shaolin Robot,f
Socialist Red Guardsman,Socialist Red Guardsman,f
Aqua(-| )?man,Aquaman,f
Sand(-| )?man,Sandman,f
Cat(-| )?woman,Catwoman,f
League of Ancients,League of Ancients,t
Gamemnae,Gamemnae,f
Rama Khan,Rama Khan,f
Anointed One,Anointed One,f
Sela,Sela,f
Tezumak,Tezumak,f
Whaler,Whaler,f
S\.H\.A\.D\.E,S.H.A.D.E.,t
Super(-| )?Human Advanced Defense Executive,S.H.A.D.E.,t
Society of Super(-| )?Heroes,Society of Super-Heroes,t
Doc Fate,Doc Fate,f
Immortal Man,Immortal Man,f
Super Young Team,Super Young Team,t
Heino Okata,Most Excellent Superbat,f
Most Excellent Super ?bat,Most Excellent Superbat,f
Big Atomic Lantern Boy,Big Atomic Lantern Boy,f
Shy Crazy Lolita Canary,Shy Crazy Lolita Canary,f
Well(-| )Spoken Sonic Lightning Flash,Well-Spoken Sonic Lightning Flash,f
Kim Kumura,Shiny Happy Aquazon,f
Shiny Happy Aquazon,Shiny Happy Aquazon,f
Wonder Wagon,Wonder Wagon,f
Bombshell,Bombshell,f
Crush,Crush,f
Donna Troy,Donna Troy,f
Kid Devil,Kid Devil,f
Rose Wilson,Rose Wilson,f
Ravager,Ravager,f
(Doctor|Dr\.?) Light,Doctor Light,f
Blackfire,Blackfire,f
Trigon,Trigon,f
(Doctor|Dr\.?) Manhattan,Doctor Manhattan,f
Ozymandias,Ozymandias,f
Achilles Warkiller,Achilles Warkiller,f
Harry Potter,Harry Potter,f
Harry,Harry,f
Ron Weasley,Ron Weasley,f
Ron,Ron,f
Hermione,Hermione Granger,f
Luna Lovegood,Luna Lovegood,f
Ashford,Ashford,f
Xee?lee Night ?fighters?,Xeelee Nightfighter,f
Photino Birds?,Photino Birds,f
Monads?,Monads,f
Xee?lee,Xeelee,f
Raizo,Raizo,f
Jasmine,Jasmine,f
Princess Jasmine,Princess Jasmine,f
Princess Peach,Princess Peach,f
King Koopa,King Koopa,f
Abaddon the Despoiler,Abaddon the Despoiler,f
Abaddon,Abaddon,f
Garviel Loken,Garviel Loken,f
Shooter,Shooter,f
Fatal Five,Fatal Five,t
Emerald Empress,Emerald Empress,f
Persuader,Persuader,f
Tharok,Tharok,f
Mano,Mano,f
Bat(-| )?mans?,Batman,f
Pureblood,Pureblood,f
Artemis,Artemis,f
Artemis of (the )?Bana-Mighdall,Artemis of the Bana-Mighdall,f
Beowulf,Beowulf,f
Deadspot,Deadspot,f
Lobster Johnson,Lobster Johnson,f
Lobster,Lobster,f
Saya,Saya,f
Brai?niac 5,Brainiac 5,f
Akaza,Akaza,f
Yoriichi( Tsugikuni)?,Yoriichi,f
Dou?ma,Doma,f
SCP(-| )?3812,SCP-3812,f
Kirishima,Kirishima,f
Devil Long Hair,Devil Long Hair,f
Awakened Cockroach,Awakened Cockroach,f
Crystar,Crystar,f
Giolio Comanche,Giolio Comanche,f
Josh,Josh,f
Joshua Adams,Joshua Adams,f
Reb,Reb,f
Bob Lee Jackson,Bob Lee Jackson,f
Necro,Necro,f
Effie,Effie,f
Arak,Arak,f
Captain Comet,Captain Comet,f
Colonel Sanders,Colonel Sanders,f
Cassandra Sandsmark,Cassie Sandsmark,f
Cassie Sandsmark,Cassie Sandsmark,f
Circe,Circe,f
Doctor Poison,Doctor Poison,f
Hermes,Hermes,f
Hippolyta,Hippolyta,f
I(-| )?Ching,I-Ching,f
Wonder ?Woman,Wonder Woman,f
Peng Delian,Wonder-Woman of China,f
Peng Deilan,Wonder-Woman of China,f
Wonder(-| )?Woman of China,Wonder-Woman of China,f
Ted Kord,Ted Kord,f
(Jaime|Jamie) Reyes,Jaime Reyes,f
Carnage,Carnage,f
Life Foundation Symbiotes,Life Foundation Symbiotes,t
M(iste)?r\.? Mxy,Mister Mxyzptlk,f
Lex Luth(o|e)r,Lex Luthor,f
Rorsc?har?ch,Rorschach,f
Vampire,Vampire,f
Har?grids?,Hagrid,f
Scream Symbiote,Scream Symbiote,f
Riot,Riot,f
Phage,Phage,f
Lasher,Lasher,f
Agony,Agony,f
Toxin,Toxin,f
Agent Venom,Agent Venom,f
Firebird,Firebird,f
Texas Twister,Texas Twister,f
Shooting Star,Shooting Star,f
Victoria Star,Victoria Star,f
Red Wolf,Red Wolf,f
Phantom Rider,Phantom Rider,f
Fixer,Fixer,f
Jolt,Jolt,f
Mister Hyde,Mister Hyde,f
Mr\.? Hyde,Mr. Hyde,f
Mister X,Mister X,f
Moonstone,Moonstone,f
Troll,Troll,f
Darkstar,Darkstar,f
Ursa Major,Ursa Major,f
Vanguard,Vanguard,f
Daken,Daken,f
(Gabby|Gabrielle) Kinney,Gabby Kinney,f
Vic Sage,Vic Sage,f
Detective Chimp,Detective Chimp,f
David Isherwood,David Isherwood,f
(Doctor|Dr\.?) Ikon,Doctor Ikon,f
Elongated man,Elongated man,f
Ralph Dibny,Elongated man,f
Flex Mentallo,Flex Mentallo,f
Haunted Tank,Haunted Tank,f
Iron Butterfly,Iron Butterfly,f
Kahina Eskandari,Kahina Eskandari,f
Jonah Hex,Jonah Hex,f
Pippi Giovanni,Pippi Giovanni,f
Legionary,Legionary,f
Mother Panic,Violet Paige,f
Violet Paige,Violet Paige,f
Renee Montoya,Renee Montoya,f
Riki(-| )Oh,Riki-Oh,f
Red Bee,Red Bee,f
Richard Dragon,Richard Dragon,f
Sasha Bordeaux,Sasha Bordeaux,f
Sideways,Sideways,f
Uncle Sam,Uncle Sam,f
Warlord,Warlord,f
Animal(-| )Vegetable(-| )Mineral(-| )?Man,Animal-Vegetable-Mineral Man,f
Anti(-| )?Monitor,Anti-Monitor,f
Aquarius,Aquarius,f
Baron Blitzkrieg,Baron Blitzkrieg,f
Brother EYE,Brother EYE,f
(Doctor|Dr\.?) Polaris,Doctor Polaris,f
Fairy Tales,Fairy Tales,f
Glob,Glob,f
Grendel(-| )Prime,Grendel-Prime,f
Ibac,Ibac,f
Killer(-| )Frost,Killer Frost,f
Killspeed,Killspeed,f
Klarion,Klarion,f
Lady Vic,Lady Vic,f
Man(-| )Mountain,Man-Mountain,f
Mawzir,Mawzir,f
Nacht (&|and) Nebel,Nacht & Nebel,f
Onomatopoeia,Onomatopoeia,f
Perrus the Benevolent,Perrus the Benevolent,f
Psycho(-| )Pirate,Psycho-Pirate,f
Quantum Zealot,Quantum Zealot,f
Snowflame,Snowflame,f
Sun(-| )Eaters?,Sun-Eaters,f
Ultimator,Ultimator,f
The Weird,The Weird,f
Captain Adam,Captain Adam,f
Captain Deathstroke,Captain Deathstroke,f
Flying Ford Anglia,Flying Ford Anglia,f
Viza'Aviv,Viza'Aviv,f
Boyzarro,Boyzarro,f
Leir,Leir,f
June,June,f
Nyla,Nyla,f
Juuzou Shishimi,Juuzou Shishimi,f
John Dusk,John Dusk,f
Knuckles,Knuckles,f
Amy Rose,Amy Rose,f
Silver,Silver,f
Silver the Hedgehog,Silver the Hedgehog,f
Talos,Talos,f
Princess Mononoke,Princess Mononoke,f
San,San,f
Hawk,Hawk,f
Claude,Claude,f
Claude von Riegan,Claude von Riegan,f
Basque Grand,Basque Grand,f
Jesse Faden,Jesse Faden,f
Oden,Oden,f
Kozuki Oden,Kozuki Oden,f
Guzma,Guzma,f
Tierno,Tierno,f
Alexe?i Shostakov,Alexi Shostakov,f
Red Guardian,Red Guardian,f
Presea Combatir,Presea Combatir,f
Yggdrasill,Yggdrasill,f
Ichigo,Ichigo,f
Bob Richards?,Bob Richards,f
Gon,Gon,f
Fall Barros,Fall Barros,f
Reginald,Reginald,f
Reggie,Reggie,f
Alexandra Ivanova,Alexandra Ivanova,f
Marco Tousi,Marco Tousi,f
Red Rover,Red Rover,f
Mah Yun,Mah Yun,f
Stygian Medusa,Stygian Medusa,f
Carnelian Raven,Carnelian Raven,f
Ivory Stalker,Ivory Stalker,f
Plutonian Flame,Plutonian Flame,f
Superweapon,Superweapon,f
Ash,Ash,f
Ash Ketchum,Ash Ketchum,f
Roku,Roku,f
The Seven,The Seven,t
The Boys,The Boys,t
Homelander,Homelander,f
Sait(o|ō)u? Hajime,Saitō Hajime,f
Jr\.? Troopa,Jr. Troopa,f
Tama Inubou?zaki,Tama Inubozaki,f
Ezekial Stane,Ezekial Stane,f
Zeke Stane,Zeke Stane,f
Togata,Togata,f
Sakura,Sakura,f
Crimson King,Crimson King,f
Gan,Gan,f
Erin,Erin,f
Erin Harson,Erin Harson,f
Jim Harper,Jim Harper,f
James Bond Jr,James Bond Jr.,f
Vale,Vale,f
Timor,Timor,f
X-?23,X-23,f
Laura Kinney,Laura Kinney,f
Volder?mort,Voldemort,f
Dumbledores?,Dumbledore,f
Freddy Kr(ue?|eu)ger,Freddy Krueger,f
Cheetu,Cheetu,f
Hanzo,Hanzo,f
Hanzo Shimada,Hanzo Shimada,f
Ahriman,Ahriman,f
Ahzek Ahriman,Ahzek Ahriman,f
Kratos Aurion,Kratos Aurion,f
Kratos,Kratos,f
John(-| )?117,Master Chief,f
Frank West,Frank West,f
Humbug,Humbug,f
Eggsy,Eggsy,f
He(-| )?Man,He-Man,f
Composite He(-| )?Man,Composite He-Man,f
Jackie Estacado,Jackie Estacado,f
Old Lady Harley,Old Lady Harley,f
Ultra Comics,Ultra Comics,f
Ultra,Ultra,f
Zorgul,Zorgul,f
Se(ñ|n)or Gusano,Señor Gusano,f
Viras,Viras,f
Zigra,Zigra,f
Garfield,Garfield,f
Odie,Odie,f
Blood Hunt,Blood Hunt,f
Killing Spree,Killing Spree,f
Massacre,Massacre,f
Hirohito Juuma,Hirohito Juuma,f
Black Hornet,Black Hornet,f
Green Hornet,Green Hornet,f
Hayashi Kato,Hayashi Kato,f
Kato Hayashi,Hayashi Kato,f
Mulan Kato,Mulan Kato,f
Redhand,Redhand,f
Grizzly ?sharks?,Grizzlyshark,f
JonBob,JonBob,f
Sea ?Bear,Sea Bear,f
Cassie,Cassie,f
Cassie Hack,Cassie Hack,f
Samhain,Samhain,f
Agent Howards?,Agent Howards,f
Ben Daimio,Ben Daimio,f
Frogs?,Frogs,f
Iosif Nichayko,Iosif Nichayko,f
Johann Kraus,Johann Kraus,f
Landis Pope,Landis Pope,f
Ogdru Hem,Ogdru Hem,f
Yomyael,Yomyael,f
Varvara,Varvara,f
Allen the Alien,Allen the Alien,f
Best Tiger,Best Tiger,f
Dinosaurus,Dinosaurus,f
Invincible,Invincible,f
Mark Grayson,Mark Grayson,f
Omni(-| )?Man,Omni-Man,f
Punisher 2099,Punisher 2099,f
Ravage,Ravage,f
Thor 2099,Thor 2099,f
Adaptoid,Adaptoid,f
MST(-| )?3K,MST-3K,f
Osborne?,Osborn,f
Norman Osborne?,Norman Osborn,f
Super(-| )Adaptoid,Super-Adaptoid,f
Ultra(-| )Adaptoid,Ultra-Adaptoid,f
Yelena Belova,Yelena Belova,f
Experiment 523,Experiment 523,f
523,523,f
Slushy,Slushy,f
Space Racer,Space Racer,f
Sanguinius,Sanguinius,f
Clockwork Droid,Clockwork Droid,f
Tracer,Tracer,f
Reinhardt,Reinhardt,f
Widow ?maker,Widowmaker,f
Reaper,Reaper,f
The Rock,The Rock,f
Claw the Unconquered,Claw the Unconquered,f
Valcan Scaramax,Claw the Unconquered,f
Garrus,Garrus,f
Garrus Vakarian,Garrus Vakarian,f
James Vega,James Vega,f
Tali'Zorah,Tali'Zorah,f
Tali,Tali,f
Cave(-| )Troll,Cave-Troll,f
Nermal,Nermal,f
Red Racer,Red Racer,f
Rez,Rez,f
Silver Karasu,Silver Karasu,f
Superdemon,Superdemon,f
David Shimizu,David Shimizu,f
Hato Higashikata,Hato Higashikata,f
Thunderer,Thunderer,f
Googam,Googam,f
Marrina( Smallwood)?,Marrina,f
Mega ?man,Megaman,f
Fusion,Fusion,f
Betty Ross,Betty Ross,f
Ironheart,Ironheart,f
Riri Williams,Riri Williams,f
Jimmy Bones,Jimmy Bones,f
Kei Kurono,Kei Kurono,f
Kurono Kei,Kei Kurono,f
Kei,Kei,f
Justice,Justice,f
Mudsdale,Mudsdale,f
Mudbray,Mudbray,f
Brandish µ,Brandish µ,f
Brandish,Brandish,f
Jet,Jet,f
Mai,Mai,f
Appa,Appa,f
Bemular,Bemular,f
(Doctor|Dr\.?) Sivana,Doctor Sivana,f
Thaddeus Sivana,Doctor Sivana,f
Miranda,Miranda,f
Miranda Lawson,Miranda Lawson,f
Bast,Bast,f
Zia Rashid,Zia Rashid,f
Zia,Zia,f
Bes,Bes,f
Tyson,Tyson,f
Jake Rivers,Jake Rivers,f
Paul Blart,Paul Blart,f
Funny Trick,Funny Trick,f
Smoke,Smoke,f
Gex,Gex,f
Nate Willner,Nate Willner,f
Yukishiro Enishi,Yukishiro Enishi,f
Enishi Yukishiro,Yukishiro Enishi,f
Suki,Suki,f
Todoroki,Todoroki,f
Uraraka,Uraraka,f
Uravity,Uraraka,f
Iida,Iida,f
Ida,Ida,f
Captain Celebrity,Captain Celebrity,f
Magnus Burnsides,Magnus Burnsides,f
Winston,Winston,f
Genos,Genos,f
Aldrif,Aldrif Odinsdottir,f
Asgardian Destroyer,Asgardian Destroyer,f
Bodolf,Bodolf,f
Bor,Bor,f
Bor B(ú|u)rison,Bor Búrison,f
Indo ?raptors?,Indoraptor,f
Inklings,Inklings,f
Battle ?Beast,Battle Beast,f
En(-| )Sabah(-| )Nur,En Sabah Nur,f
Spider(-| )?Man (of )?2099,Spider-Man 2099,f
Hong Meiling,Hong Meiling,f
Javik,Javik,f
Thalia,Thalia,f
Thalia Grace,Thalia Grace,f
Waxillium,Waxillium,f
Wax,Wax,f
Soldier:? 76,Soldier: 76,f
Cyrax,Cyrax,f
Lurtz,Lurtz,f
Koichi Haimawari,Koichi Haimawari,f
Gran Torino,Gran Torino,f
Mirko,Mirko,f
Rumi Usagiyama,Rumi Usagiyama,f
Usagiyama Rumi,Rumi Usagiyama,f
Chargebolt,Chargebolt,f
Denki,Denki,f
(Denki )?Kaminari,Denki Kaminari,f
Momo,Momo,f
Laufey,Laufey,f
Magni Thorson,Magni Thorson,f
Puddlegulp,Puddlegulp,f
Ragnarok,Ragnarok,f
Jane Thor,Jane Thor,f
Brunnhild(e|a),Brunnhilde,f
Woden,Woden,f
Scott Lang,Scott Lang,f
Wanda Maximoff,Wanda Maximoff,f
Spider(-| )?Woman,Spider-Woman,f
X(-| )Mansion,X-Mansion,t
X(-| )?Men,X-Men,t
Adam(-| )X,Adam-X,f
Archangel,Archangel,f
Armor,Armor,f
Hisako Ichiki,Hisako Ichiki,f
Lucas Bishop,Lucas Bishop,f
Bishop,Bishop,f
Blindfold,Blindfold,f
Cannonball,Cannonball,f
Charles Xavier,Charles Xavier,f
Professor X(avior)?,Charles Xavier,f
Professor X,Charles Xavier,f
Cipher,Cipher,f
Colossus,Colossus,f
(Peter|Piotr|Poitr) Rasputin,Piotr Rasputin,f
Dani Moonstar,Dani Moonstar,f
Destiny,Destiny,f
Dominoe?,Domino,f
Dust,Dust,f
Fantomex,Fantomex,f
Forge,Forge,f
ForgetMeNot,ForgetMeNot,f
Glob Herman,Glob Herman,f
Hellion,Hellion,f
Ice(-| )?man,Iceman,f
Ink,Ink,f
Kid Omega,Kid Omega,f
Quentin Quire,Kid Omega,f
David Haller,David Haller,f
Longshot,Longshot,f
Magik,Magik,f
Magma,Magma,f
Marrow,Marrow,f
Multiple Man,Multiple Man,f
Madrox,Madrox,f
X(-| )Man,X-Man,f
Night ?crawler,Nightcrawler,f
North Korean X(-| )?Men,North Korean X-Men,f
Quicksilver,Quicksilver,f
Pietro Maximoff,Pietro Maximoff,f
Peter Maximoff,Peter Maximoff,f
Rogue,Rogue,f
Siryn,Siryn,f
Stacy X,Stacy X,f
Strong Guy,Strong Guy,f
Sunfire,Sunfire,f
Sunspot,Sunspot,f
Tempus,Tempus,f
Warpath,Warpath,f
Wolfsbane,Wolfsbane,f
Azazel,Azazel,f
Exodus,Exodus,f
Kimura,Kimura,f
Lady Deathstrike,Lady Deathstrike,f
Matthew Malloy,Matthew Malloy,f
Mellencamp,Mellencamp,f
Mimic,Mimic,f
(Mister|Mr\.?) M,Mister M,f
(Mister|Mr\.?) Sinister,Mister Sinister,f
Mongrels,Mongrels,f
Mystique,Mystique,f
Unalaq,Unalaq,f
Mike Jones,Mike Jones,f
Red Team,Red Team,f
Didact,Didact,f
Kopaka,Kopaka,f
Black Team,Black Team,f
Amaterasu,Amaterasu,f
Boss Awesome,Boss Awesome,f
Baron Von Steamer,Baron Von Steamer,f
Super(-| )?sonic Sue,Supersonic Sue,f
High Voltage,High Voltage,f
Hiro Hamada,Hiro Hamada,f
Hiro,Hiro,f
Momakase,Momakase,f
Noodle Burger Boy,Noodle Burger Boy,f
Yarael Poof,Yarael Poof,f
Scissor ?man,Scissorman,f
Kanzaki Kaori,Kanzaki Kaori,f
Kaori Kanzaki,Kanzaki Kaori,f
Stiyl Magnus,Stiyl Magnus,f
Tsuchimikado|Motoharu,Tsuchimikado Motoharu,f
Trina,Trina,f
Hardlight,Hardlight,f
El Fuego,El Fuego,f
Baymax,Baymax,f
Spider(-| )Mobile,Spider-Mobile,f
Obake,Obake,f
Globby,Globby,f
Faith,Faith,f
Wasabi,Wasabi,f
Fred,Fred,f
Krombopulos Michael,Krombopulos Michael,f
Honey Lemon,Honey Lemon,f
Go ?Go Tomago,Go Go Tomago,f
Blade Wolf,Blade Wolf,f
Sam (and|&) Max,Sam & Max,f
Ieroh Itou,Ieroh Itou,f
Murasaki,Murasaki,f
Green Giant,Green Giant,f
Jolly Green Giant,Jolly Green Giant,f
Apokolips,Apokolips,f
Byleth,Byleth,f
Ape,Ape,f
House of Mystery,House of Mystery,f
Malekith,Malekith,f
Hellcow,Hellcow,f
High Evolutionary,High Evolutionary,f
Hiroim,Hiroim,f
Howard the Duck,Howard the Duck,f
Jim Hammond,Jim Hammond,f
